frame,n_objects,detector,foam
380,7,cellpose,F
381,7,cellpose,F
382,7,cellpose,F
383,7,cellpose,F
384,7,cellpose,F
385,8,cellpose,F
386,7,cellpose,F
387,7,cellpose,F
388,7,cellpose,F
389,7,cellpose,F
390,9,cellpose,F
391,10,cellpose,F
392,7,cellpose,F
393,7,cellpose,F
394,8,cellpose,F
395,8,cellpose,F
396,7,cellpose,F
397,7,cellpose,F
398,6,cellpose,F
399,7,cellpose,F
400,5,cellpose,F
401,5,cellpose,F
402,5,cellpose,F
403,5,cellpose,F
404,6,cellpose,F
405,6,cellpose,F
406,4,cellpose,F
407,4,cellpose,F
408,4,cellpose,F
409,4,cellpose,F
410,4,cellpose,F
411,4,cellpose,F
412,4,cellpose,F
413,4,cellpose,F
414,4,cellpose,F
415,4,cellpose,F
416,4,cellpose,F
417,4,cellpose,F
418,4,cellpose,F
419,4,cellpose,F
420,4,cellpose,F
421,3,cellpose,F
422,3,cellpose,F
423,3,cellpose,F
424,3,cellpose,F
425,3,cellpose,F
426,3,cellpose,F
427,3,cellpose,F
428,3,cellpose,F
429,3,cellpose,F
430,3,cellpose,F
431,3,cellpose,F
432,3,cellpose,F
433,3,cellpose,F
434,3,cellpose,F
435,3,cellpose,F
436,3,cellpose,F
437,3,cellpose,F
438,2,cellpose,F
439,2,cellpose,F
440,2,cellpose,F
441,2,cellpose,F
442,2,cellpose,F
443,2,cellpose,F
444,2,cellpose,F
445,2,cellpose,F
446,2,cellpose,F
447,2,cellpose,F
448,2,cellpose,F
449,2,cellpose,F
450,2,cellpose,F
451,2,cellpose,F
452,2,cellpose,F
453,2,cellpose,F
454,2,cellpose,F
455,2,cellpose,F
456,2,cellpose,F
457,2,cellpose,F
458,2,cellpose,F
459,2,cellpose,F
460,2,cellpose,F
461,2,cellpose,F
462,2,cellpose,F
463,2,cellpose,F
464,2,cellpose,F
465,2,cellpose,F
466,2,cellpose,F
467,2,cellpose,F
468,2,cellpose,F
469,2,cellpose,F
470,2,cellpose,F
471,2,cellpose,F
472,2,cellpose,F
473,2,cellpose,F
474,2,cellpose,F
475,2,cellpose,F
476,2,cellpose,F
477,2,cellpose,F
478,2,cellpose,F
479,2,cellpose,F
480,2,cellpose,F
481,2,cellpose,F
482,2,cellpose,F
483,2,cellpose,F
484,2,cellpose,F
485,2,cellpose,F
486,2,cellpose,F
487,2,cellpose,F
488,2,cellpose,F
489,2,cellpose,F
490,2,cellpose,F
491,2,cellpose,F
492,2,cellpose,F
493,2,cellpose,F
494,2,cellpose,F
495,2,cellpose,F
496,2,cellpose,F
497,2,cellpose,F
498,2,cellpose,F
499,2,cellpose,F
500,2,cellpose,F
501,2,cellpose,F
502,2,cellpose,F
