n_obj,mean_n_all,mean_n_interior_mask,mean_n_interior_raft,mean_n_edge_raft,n_interior_mask,n_interior_raft,unassigned_mask_pct,unassigned_raftcore_pct,frame,source,mask_outside_gt_hull_pct
76,5.7105263157894735,5.549019607843137,5.625,5.857142857142857,51,48,12.508959288990825,12.970328828717543,50,watershed,12.20374617737003
105,5.542857142857143,5.53125,5.741379310344827,5.297872340425532,64,58,0.013737576452599388,0.006999860002799944,50,watershed (per-frame),12.20374617737003
70,5.2,5.612244897959184,5.844444444444444,4.04,49,45,25.65630144784823,11.929606319076843,73,GT,13.423907190005076
69,5.217391304347826,5.723404255319149,5.844444444444444,4.041666666666667,47,45,20.02892619205145,6.355613356705103,73,Cellpose,13.423907190005076
68,5.705882352941177,5.681818181818182,5.761904761904762,5.615384615384615,44,42,11.335066853353439,11.546842853849599,73,watershed,13.423907190005076
103,5.592233009708738,5.719298245614035,5.811320754716981,5.36,57,53,0.012616743341590632,0.012178837529957765,73,watershed (per-frame),13.423907190005076
70,5.2,5.63265306122449,5.844444444444444,4.04,49,45,25.83792657171754,11.9232259721938,74,GT,13.69825113665358
69,5.217391304347826,5.666666666666667,5.844444444444444,4.041666666666667,48,45,20.35954835119906,6.424251396623719,74,Cellpose,13.69825113665358
70,5.714285714285714,5.574468085106383,5.761904761904762,5.642857142857143,47,42,11.330876091694666,11.589690892228111,74,watershed,13.69825113665358
104,5.538461538461538,5.564516129032258,5.818181818181818,5.224489795918367,62,55,0.017522448716096366,0.016546126682370974,74,watershed (per-frame),13.69825113665358
63,4.984126984126984,5.487804878048781,5.722222222222222,4.0,41,36,25.88883037295926,10.155604420229976,97,GT,15.244889165509647
61,4.983606557377049,5.589743589743589,5.764705882352941,4.0,39,34,21.36448508641739,5.72230236651307,97,Cellpose,15.244889165509647
62,5.67741935483871,5.7105263157894735,5.714285714285714,5.62962962962963,38,35,9.901533649319354,9.929177346087947,97,watershed,15.244889165509647
86,5.488372093023256,5.571428571428571,5.8,5.217391304347826,49,40,0.00574520036386269,0.005602319360215129,97,watershed (per-frame),15.244889165509647
63,4.920634920634921,5.575,5.714285714285714,3.9285714285714284,40,35,26.15893616341144,11.704978015145619,98,GT,12.012914362433271
61,5.049180327868853,5.625,5.771428571428571,4.076923076923077,40,35,21.280567720487163,6.965821714684452,98,Cellpose,12.012914362433271
63,5.682539682539683,5.717948717948718,5.722222222222222,5.62962962962963,39,36,9.66051849247195,9.531094143485282,98,watershed,12.012914362433271
89,5.438202247191011,5.68,5.65,5.26530612244898,50,40,0.00831122334814436,0.00984062657953239,98,watershed (per-frame),12.012914362433271
52,4.884615384615385,5.666666666666667,5.923076923076923,3.8461538461538463,30,26,26.94712370278542,9.241470005034264,120,GT,17.33102194808118
51,4.901960784313726,5.75,5.923076923076923,3.84,28,26,22.98921241563276,5.478100952400522,120,Cellpose,17.33102194808118
50,5.72,5.75,5.846153846153846,5.583333333333333,28,26,8.798382030323493,9.047291257846773,120,watershed,17.33102194808118
65,5.476923076923077,5.71875,5.827586206896552,5.194444444444445,32,29,0.017133815095898973,0.019006914407241123,120,watershed (per-frame),17.33102194808118
52,4.884615384615385,5.714285714285714,5.923076923076923,3.8461538461538463,28,26,25.852433345554598,9.384353058144148,121,GT,15.976507755935595
